Job Name;trace name;XSA number;depth;unwind;directpaths;fullslice;FP;statusReason;start time;stop time;got file;trace status;cbmc start time;cbmc end time;locs;start slice;end slice;end;CBMC time;slice time;check cbmc time
paper_run_2000000;no trace ;200;0;0;0;0;0;Job attempt duration exceeded timeout;1,53744E+12;1,53747E+12;no trace;no trace;;;;1537525821;1537525882;;;61;
paper_run_2000000;PAPERRUNxsa200.depth0-unwind0-dp0-fs0-fp0.trace;200;0;0;0;0;0;Essential container in task exited;1,53744E+12;1,53744E+12;0;unknown error;111.728.762;unknown;101729;1537443838;1537443887;1537443895;#VALUE!;49;8
paper_run_2000010;no trace ;200;0;0;1;0;0;Job attempt duration exceeded timeout;1,53744E+12;1,53747E+12;no trace;no trace;;;;1537525821;1537525888;;0;67;
paper_run_2000010;PAPERRUNxsa200.depth0-unwind0-dp1-fs0-fp0.trace;200;0;0;1;0;0;Essential container in task exited;1,53744E+12;1,53744E+12;0;unknown error;112.585.140;unknown;101729;1537443838;1537443888;1537443896;#VALUE!;50;8
paper_run_2120000;PAPERRUNxsa212.depth0-unwind0-dp0-fs0-fp0.trace;212;0;0;0;0;0;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;260.482.943.888;260.497.021.243;1282;1537443354;1537443406;1537443430;14.077;52;24
paper_run_2120010;no trace ;212;0;0;1;0;0;Job attempt duration exceeded timeout;1,53744E+12;1,53747E+12;no trace;no trace;;;;;;;0;;
paper_run_2130000;PAPERRUNxsa213.depth0-unwind0-dp0-fs0-fp0.trace;213;0;0;0;0;0;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;133.244.695;146.259.118;1280;1537443465;1537443524;0;13.014;59;-1537443524
paper_run_2131200;PAPERRUNxsa213.depth1-unwind2-dp0-fs0-fp0.trace;213;1;2;0;0;0;Job attempt duration exceeded timeout;1,53744E+12;1,53747E+12;0;Killed;124.833.455;unknown;1856;1537443463;1537443522;0;#VALUE!;59;-1537443522
paper_run_2130010;PAPERRUNxsa213.depth0-unwind0-dp1-fs0-fp0.trace;213;0;0;1;0;0;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;124.764.623;138.738.369;1280;1537443457;1537443516;0;13.974;59;-1537443516
paper_run_2270000;PAPERRUNxsa227.depth0-unwind0-dp0-fs0-fp0.trace;227;0;0;0;0;0;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;113.626.829;124.414.085;1245;1537443462;1537443511;0;10.787;49;-1537443511
paper_run_2271000;PAPERRUNxsa227.depth1-unwind0-dp0-fs0-fp0.trace;227;1;0;0;0;0;Essential container in task exited;1,53744E+12;1,53745E+12;0;SAT out of memory;103.946.892;3.729.103.191;2270;1537443460;1537443508;0;3.625.156;48;-1537443508
paper_run_2270010;PAPERRUNxsa227.depth0-unwind0-dp1-fs0-fp0.trace;227;0;0;1;0;0;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;151.391.753;162.213.612;1245;1537443492;1537443540;0;10.822;48;-1537443540
paper_run_2380000;PAPERRUNxsa238.depth0-unwind0-dp0-fs0-fp0.trace;238;0;0;0;0;0;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;115.768.373;127.479.028;1295;1537443459;1537443517;0;11.711;58;-1537443517
paper_run_2380010;no trace ;238;0;0;1;0;0;Job attempt duration exceeded timeout;1,53744E+12;1,53747E+12;no trace;no trace;;;;;;;0;;
;;;;;;;;;;;;;;;;;;;;;
paper_run_2000000;PAPERRUNxsa200.depth0-unwind0-dp0-fs0-fp1.trace;200;0;0;0;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;unknown error;unknown;unknown;2634;1537519830;1537520251;0;#VALUE!;421;-1537520251
paper_run_2000000;PAPERRUNxsa200.depth0-unwind0-dp0-fs0-fp1.trace;200;0;0;0;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;unknown error;unknown;unknown;2634;1537519830;1537520251;0;#VALUE!;421;-1537520251
paper_run_2000000;PAPERRUNxsa200.depth0-unwind0-dp0-fs0-fp1.trace;200;0;0;0;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;unknown error;unknown;unknown;2634;1537519830;1537520251;0;#VALUE!;421;-1537520251
paper_run_2000010;PAPERRUNxsa200.depth0-unwind0-dp1-fs0-fp1.trace;200;0;0;1;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;unknown error;unknown;unknown;53168;1537519830;1537520219;0;#VALUE!;389;-1537520219
paper_run_2000010;PAPERRUNxsa200.depth0-unwind0-dp1-fs0-fp1.trace;200;0;0;1;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;unknown error;unknown;unknown;53168;1537519830;1537520219;0;#VALUE!;389;-1537520219
paper_run_2001110;PAPERRUNxsa200.depth1-unwind1-dp1-fs0-fp1.trace;200;1;1;1;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;SAT out of memory;450.287.784;3.318.402.450;67999;1537519843;1537520234;1537523172;2.868.115;391;2938
